!!!SBtab Document='eQuilibrator thermodynamic data' SBtabVersion='1.0' Date='2019-12-12',,,,,,,,
!!SBtab TableID='ReactionGFE' TableType='Quantity' TableName='Reaction table of transformed energies' SBtabVersion='1.0' Date='2019-12-12' Unit='kJ/mol' IonicStrengthUnit='M' TemperatureUnit='K',,,,,,,,
!QuantityType,!Identifiers:kegg.reaction,!Unit,!Mean,!Std,!pH,!IonicStrength,!Temperature,!Comment
standard Gibbs energy of formation,R03979,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03980,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03981,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03982,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03983,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03984,kJ/mol,39.3,4.6,7,0.1,298.15,
standard Gibbs energy of formation,R03986,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03987,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03989,kJ/mol,64.3,2.8,7,0.1,298.15,
standard Gibbs energy of formation,R03990,kJ/mol,46.3,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R03991,kJ/mol,32.7,2.7,7,0.1,298.15,
standard Gibbs energy of formation,R03992,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03993,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R03994,kJ/mol,20.6,23.4,7,0.1,298.15,
standard Gibbs energy of formation,R03995,kJ/mol,125.9,8.3,7,0.1,298.15,
standard Gibbs energy of formation,R03997,kJ/mol,-442.1,7,7,0.1,298.15,
standard Gibbs energy of formation,R03998,kJ/mol,-522.1,15,7,0.1,298.15,
standard Gibbs energy of formation,R03999,kJ/mol,-524.1,15,7,0.1,298.15,
standard Gibbs energy of formation,R04000,kJ/mol,-8.6,15.3,7,0.1,298.15,
standard Gibbs energy of formation,R04001,kJ/mol,-3.2,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R04002,kJ/mol,19.8,2.8,7,0.1,298.15,
standard Gibbs energy of formation,R04003,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04005,kJ/mol,-63.6,5.3,7,0.1,298.15,
standard Gibbs energy of formation,R04006,kJ/mol,38.7,4.7,7,0.1,298.15,
standard Gibbs energy of formation,R04007,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04009,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04010,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04011,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04012,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04013,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04014,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04015,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04016,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04017,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04018,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04019,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04020,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04021,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04022,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04023,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04024,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04025,kJ/mol,-94.4,9,7,0.1,298.15,
standard Gibbs energy of formation,R04026,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04027,kJ/mol,-87.2,17.6,7,0.1,298.15,
standard Gibbs energy of formation,R04028,kJ/mol,-6.7,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R04029,kJ/mol,-6.6,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R04030,kJ/mol,-13.1,15.3,7,0.1,298.15,
standard Gibbs energy of formation,R04031,kJ/mol,12.7,11.7,7,0.1,298.15,
standard Gibbs energy of formation,R04032,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04033,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04034,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04035,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04036,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04037,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04038,kJ/mol,-52.4,10.5,7,0.1,298.15,
standard Gibbs energy of formation,R04039,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04040,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04041,kJ/mol,-14,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R04043,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04044,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04046,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04047,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04048,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04049,kJ/mol,28.7,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R04050,kJ/mol,-18.7,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R04051,kJ/mol,6.3,15.1,7,0.1,298.15,
standard Gibbs energy of formation,R04053,kJ/mol,-12.4,16.3,7,0.1,298.15,
standard Gibbs energy of formation,R04055,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04056,kJ/mol,-4.8,3.5,7,0.1,298.15,
standard Gibbs energy of formation,R04057,kJ/mol,-5,15.3,7,0.1,298.15,
standard Gibbs energy of formation,R04058,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04059,kJ/mol,14.6,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R04060,kJ/mol,-381.7,39.5,7,0.1,298.15,
standard Gibbs energy of formation,R04061,kJ/mol,-314.4,12.7,7,0.1,298.15,
standard Gibbs energy of formation,R04062,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04063,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04065,kJ/mol,-36.8,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R04066,kJ/mol,-400.3,8.2,7,0.1,298.15,
standard Gibbs energy of formation,R04068,kJ/mol,-52.2,5,7,0.1,298.15,
standard Gibbs energy of formation,R04070,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04071,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04072,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04073,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04074,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04076,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04077,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04078,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04080,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04081,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04082,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04084,kJ/mol,-48.6,18.5,7,0.1,298.15,
standard Gibbs energy of formation,R04085,kJ/mol,-112.5,11.5,7,0.1,298.15,
standard Gibbs energy of formation,R04088,kJ/mol,-26.5,11.5,7,0.1,298.15,
standard Gibbs energy of formation,R04089,kJ/mol,-255.9,10.3,7,0.1,298.15,
standard Gibbs energy of formation,R04090,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04091,kJ/mol,-18,7.1,7,0.1,298.15,
standard Gibbs energy of formation,R04092,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04093,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04094,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04095,kJ/mol,42.3,6.7,7,0.1,298.15,
standard Gibbs energy of formation,R04096,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04097,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04098,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04099,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R04100,kJ/mol,0,0,7,0.1,298.15,
standard Gibbs energy of formation,R04101,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04102,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04103,kJ/mol,1.8,1,7,0.1,298.15,
standard Gibbs energy of formation,R04104,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04105,kJ/mol,21.6,2,7,0.1,298.15,
standard Gibbs energy of formation,R04106,kJ/mol,21.6,2,7,0.1,298.15,
standard Gibbs energy of formation,R04108,kJ/mol,-63.4,5.3,7,0.1,298.15,
standard Gibbs energy of formation,R04109,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04111,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04112,kJ/mol,0,4.4,7,0.1,298.15,
standard Gibbs energy of formation,R04113,kJ/mol,-0.1,6.2,7,0.1,298.15,
standard Gibbs energy of formation,R04115,kJ/mol,-71.5,12.4,7,0.1,298.15,
standard Gibbs energy of formation,R04117,kJ/mol,-370.7,12,7,0.1,298.15,
standard Gibbs energy of formation,R04118,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04119,kJ/mol,-33.9,7.4,7,0.1,298.15,
standard Gibbs energy of formation,R04120,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04121,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04122,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04123,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04124,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04125,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04126,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04127,kJ/mol,-14.1,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R04130,kJ/mol,-441.3,7,7,0.1,298.15,
standard Gibbs energy of formation,R04131,kJ/mol,-0.7,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R04132,kJ/mol,-0.7,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R04133,kJ/mol,-17.4,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R04134,kJ/mol,0,0,7,0.1,298.15,
standard Gibbs energy of formation,R04135,kJ/mol,-19.8,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R04136,kJ/mol,10.3,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R04137,kJ/mol,3.2,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R04138,kJ/mol,-9.1,3,7,0.1,298.15,
standard Gibbs energy of formation,R04139,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R04140,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04141,kJ/mol,-68.2,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R04142,kJ/mol,49.9,6.2,7,0.1,298.15,
standard Gibbs energy of formation,R04143,kJ/mol,-3.3,9.1,7,0.1,298.15,
standard Gibbs energy of formation,R04144,kJ/mol,-23.1,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R04145,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04146,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04147,kJ/mol,0,0,7,0.1,298.15,
standard Gibbs energy of formation,R04148,kJ/mol,-21.5,7.6,7,0.1,298.15,
standard Gibbs energy of formation,R04149,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04150,kJ/mol,-99.4,22.1,7,0.1,298.15,
standard Gibbs energy of formation,R04151,kJ/mol,-71.5,12.4,7,0.1,298.15,
standard Gibbs energy of formation,R04152,kJ/mol,2.8,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R04153,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04154,kJ/mol,-15.8,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R04155,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04156,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04157,kJ/mol,-13,15.3,7,0.1,298.15,
standard Gibbs energy of formation,R04158,kJ/mol,-27.1,5.4,7,0.1,298.15,
standard Gibbs energy of formation,R04159,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04160,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04161,kJ/mol,0,0,7,0.1,298.15,
standard Gibbs energy of formation,R04162,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04163,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R04165,kJ/mol,2.5,1,7,0.1,298.15,
standard Gibbs energy of formation,R04166,kJ/mol,-86.9,6.6,7,0.1,298.15,
standard Gibbs energy of formation,R04167,kJ/mol,-11.8,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R04169,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04170,kJ/mol,0.7,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R04171,kJ/mol,-7.5,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R04172,kJ/mol,-21.1,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R04173,kJ/mol,11.5,0.7,7,0.1,298.15,
standard Gibbs energy of formation,R04174,kJ/mol,-8,3.5,7,0.1,298.15,
standard Gibbs energy of formation,R04175,kJ/mol,-7.1,16.8,7,0.1,298.15,
standard Gibbs energy of formation,R04177,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04178,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04179,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04180,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04182,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04183,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04184,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04185,kJ/mol,20.7,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R04186,kJ/mol,21.7,2,7,0.1,298.15,
standard Gibbs energy of formation,R04187,kJ/mol,0,3.8,7,0.1,298.15,
standard Gibbs energy of formation,R04188,kJ/mol,-0.2,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R04189,kJ/mol,-87.6,11.5,7,0.1,298.15,
standard Gibbs energy of formation,R04190,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04191,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04192,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04198,kJ/mol,20.6,7,7,0.1,298.15,
standard Gibbs energy of formation,R04199,kJ/mol,21.6,7,7,0.1,298.15,
standard Gibbs energy of formation,R04200,kJ/mol,31.3,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R04201,kJ/mol,32.3,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R04202,kJ/mol,-17.3,4.2,7,0.1,298.15,
standard Gibbs energy of formation,R04203,kJ/mol,20.7,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R04204,kJ/mol,-3.2,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R04205,kJ/mol,-0.2,15.1,7,0.1,298.15,
standard Gibbs energy of formation,R04206,kJ/mol,-3.9,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R04208,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04209,kJ/mol,2.8,8.5,7,0.1,298.15,
standard Gibbs energy of formation,R04210,kJ/mol,20.7,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R04211,kJ/mol,-25.4,7.8,7,0.1,298.15,
standard Gibbs energy of formation,R04212,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04213,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04214,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04215,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04216,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04217,kJ/mol,-1.4,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R04218,kJ/mol,45,10.8,7,0.1,298.15,
standard Gibbs energy of formation,R04221,kJ/mol,-137.3,18.3,7,0.1,298.15,
standard Gibbs energy of formation,R04222,kJ/mol,-14.5,9.5,7,0.1,298.15,
standard Gibbs energy of formation,R04223,kJ/mol,-16.7,6.7,7,0.1,298.15,
standard Gibbs energy of formation,R04224,kJ/mol,3.9,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R04225,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04227,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04228,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04229,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04230,kJ/mol,-45.9,9,7,0.1,298.15,
standard Gibbs energy of formation,R04231,kJ/mol,-44.8,9.8,7,0.1,298.15,
standard Gibbs energy of formation,R04234,kJ/mol,-5.6,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R04235,kJ/mol,0.2,2.5,7,0.1,298.15,
standard Gibbs energy of formation,R04236,kJ/mol,20.8,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R04237,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04238,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04239,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04247,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04248,kJ/mol,-324.6,16.2,7,0.1,298.15,
standard Gibbs energy of formation,R04249,kJ/mol,-158.3,14.2,7,0.1,298.15,
standard Gibbs energy of formation,R04250,kJ/mol,118.7,15.7,7,0.1,298.15,
standard Gibbs energy of formation,R04251,kJ/mol,-261.4,14.1,7,0.1,298.15,
standard Gibbs energy of formation,R04252,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04256,kJ/mol,-396.2,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R04257,kJ/mol,-203.2,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R04258,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04259,kJ/mol,-6.5,7,7,0.1,298.15,
standard Gibbs energy of formation,R04260,kJ/mol,-50.4,8.4,7,0.1,298.15,
standard Gibbs energy of formation,R04263,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R04264,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R04265,kJ/mol,7,11.2,7,0.1,298.15,
standard Gibbs energy of formation,R04266,kJ/mol,-0.7,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R04267,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04268,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04269,kJ/mol,-6.7,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R04270,kJ/mol,-11.9,4.9,7,0.1,298.15,
standard Gibbs energy of formation,R04272,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04273,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04274,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04275,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04276,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04277,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04278,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04279,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04280,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04281,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04282,kJ/mol,-20.7,14,7,0.1,298.15,
standard Gibbs energy of formation,R04283,kJ/mol,-367.7,10.4,7,0.1,298.15,
standard Gibbs energy of formation,R04285,kJ/mol,21.6,2,7,0.1,298.15,
standard Gibbs energy of formation,R04286,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04289,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04291,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04292,kJ/mol,224.7,7.5,7,0.1,298.15,
standard Gibbs energy of formation,R04293,kJ/mol,168.9,8.3,7,0.1,298.15,
standard Gibbs energy of formation,R04294,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04296,kJ/mol,-14.1,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R04299,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04300,kJ/mol,-94.5,9,7,0.1,298.15,
standard Gibbs energy of formation,R04301,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04303,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04304,kJ/mol,23.1,2,7,0.1,298.15,
standard Gibbs energy of formation,R04305,kJ/mol,-48.6,18.5,7,0.1,298.15,
standard Gibbs energy of formation,R04306,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04307,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R04309,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R04310,kJ/mol,7.3,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R04311,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04312,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04313,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04314,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04315,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04316,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04317,kJ/mol,-14.2,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R04318,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04319,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04321,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04322,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04323,kJ/mol,-15.9,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R04325,kJ/mol,5.2,10.7,7,0.1,298.15,
standard Gibbs energy of formation,R04326,kJ/mol,0.2,10.6,7,0.1,298.15,
standard Gibbs energy of formation,R04327,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04328,kJ/mol,1343.4,19.3,7,0.1,298.15,
standard Gibbs energy of formation,R04330,kJ/mol,6.3,3,7,0.1,298.15,
standard Gibbs energy of formation,R04331,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04332,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R04333,kJ/mol,-1.7,9.6,7,0.1,298.15,
standard Gibbs energy of formation,R04334,kJ/mol,-14.4,4.6,7,0.1,298.15,
standard Gibbs energy of formation,R04335,kJ/mol,-13.8,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R04336,kJ/mol,-43.6,8,7,0.1,298.15,
standard Gibbs energy of formation,R04338,kJ/mol,-7.5,3.6,7,0.1,298.15,
standard Gibbs energy of formation,R04339,kJ/mol,-3.8,15.2,7,0.1,298.15,
standard Gibbs energy of formation,R04340,kJ/mol,-2.8,15.2,7,0.1,298.15,
standard Gibbs energy of formation,R04341,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
